[UE 16 | RBs:  1 ] Total Throughput = 1.07421 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.07395 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.19836 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 2.34951 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.58669 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.09372 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.09285 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.30732 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.11322 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.10170 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19735 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.30794 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35823 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.71781 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 2.63498 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.87097 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.19578 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.42077 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.31766 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.42737 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.30547 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.54316 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.54048 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.95825 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.76842 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.76366 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.09382 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98187 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.71689 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.07075 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.95252 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.49011 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.42974 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.76237 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.96737 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.20795 Mbps
